RegionName,RegionType,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
Los Angeles County,County,CA,Los Angeles-Long Beach-Anaheim,6,37,567167.0,570020.0,573344.0,575480.0,579596.0,583135.0,587474.0,591174.0,594376.0,597013.0,601852.0,606839.0,611450.0,616173.0,621196.0,625407.0,628495.0,631372.0,633967.0,634663.0,634570.0,634665.0,635260.0,634785.0,634544.0,631682.0,628908.0,628225.0,631975.0,637125.0,637873.0,637357.0,636784.0,638661.0,640459.0,644115.0,648535.0,654238.0,659773.0,664580.0,666444.0,667704.0,672758.0,680207.0,688570.0,695441.0,702046.0,708045.0
Cook County,County,IL,Chicago-Naperville-Elgin,17,31,235165.0,235814.0,237493.0,238830.0,239969.0,240573.0,240957.0,241771.0,242897.0,243943.0,244581.0,245731.0,247583.0,249163.0,249493.0,249704.0,250315.0,251387.0,251776.0,252075.0,252284.0,252556.0,253162.0,253665.0,253638.0,253480.0,253712.0,254415.0,254958.0,255222.0,255297.0,255020.0,253994.0,252966.0,252505.0,252586.0,253078.0,253229.0,253684.0,254076.0,254595.0,255333.0,256710.0,258486.0,261016.0,263754.0,266201.0,268475.0
Harris County,County,TX,Houston-The Woodlands-Sugar Land,48,201,177989.0,178366.0,178869.0,179782.0,180318.0,180740.0,180948.0,181226.0,181605.0,182120.0,182554.0,182916.0,183446.0,183960.0,184594.0,185639.0,186759.0,187772.0,188573.0,189574.0,190527.0,191294.0,191911.0,192608.0,193752.0,194619.0,194917.0,194695.0,194893.0,195690.0,196615.0,197361.0,197401.0,197855.0,198125.0,198682.0,198619.0,198904.0,199807.0,200940.0,201912.0,202637.0,203555.0,204670.0,206514.0,208295.0,210494.0,212658.0
Maricopa County,County,AZ,Phoenix-Mesa-Scottsdale,4,13,242028.0,243189.0,244568.0,245814.0,246872.0,248307.0,250266.0,251516.0,252887.0,254185.0,255840.0,257233.0,258986.0,261111.0,262935.0,264630.0,266390.0,268163.0,269770.0,271016.0,272331.0,273316.0,274080.0,274992.0,276029.0,277170.0,278247.0,278598.0,279750.0,281476.0,283696.0,285599.0,286981.0,288598.0,290370.0,292451.0,294579.0,296637.0,299209.0,302766.0,305996.0,309005.0,311980.0,315932.0,320662.0,325809.0,331342.0,337118.0
San Diego County,County,CA,San Diego-Carlsbad,6,73,528758.0,531624.0,536251.0,542424.0,548218.0,551984.0,555396.0,556618.0,559554.0,562921.0,566143.0,569743.0,576060.0,581966.0,585439.0,584912.0,584267.0,585742.0,588265.0,590888.0,591345.0,591632.0,591460.0,590804.0,587641.0,585452.0,584189.0,587233.0,590128.0,594493.0,597990.0,599937.0,599992.0,599614.0,600782.0,603334.0,607419.0,611178.0,615413.0,618539.0,622620.0,625616.0,629734.0,636244.0,645855.0,656702.0,667613.0,678665.0
Orange County,County,CA,Los Angeles-Long Beach-Anaheim,6,59,681126.0,683169.0,687464.0,689853.0,692469.0,696399.0,698129.0,699761.0,702688.0,706605.0,711263.0,716122.0,719331.0,722595.0,724461.0,729041.0,733033.0,738010.0,738932.0,738899.0,736475.0,737288.0,737430.0,736910.0,734469.0,732110.0,730046.0,729348.0,732244.0,735076.0,738917.0,739547.0,742777.0,743837.0,744589.0,744462.0,747160.0,751413.0,756018.0,759221.0,760376.0,761539.0,764886.0,771973.0,778679.0,786090.0,794593.0,804911.0
Kings County,County,NY,New York-Newark-Jersey City,36,47,595940.0,599841.0,603472.0,606886.0,610438.0,612922.0,615621.0,618819.0,624306.0,630268.0,634679.0,638064.0,640707.0,644907.0,647312.0,648796.0,650398.0,653803.0,657099.0,659899.0,660714.0,662978.0,665982.0,669581.0,671786.0,673241.0,674472.0,675610.0,676479.0,676778.0,676634.0,674474.0,672931.0,671118.0,669272.0,668412.0,668257.0,668793.0,669426.0,670688.0,672104.0,673297.0,674835.0,678096.0,681600.0,684767.0,688177.0,690978.0
Miami-Dade County,County,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,280519.0,282088.0,283345.0,284333.0,286111.0,287632.0,288952.0,290708.0,292087.0,294205.0,294596.0,296019.0,296620.0,298550.0,300417.0,302541.0,304368.0,305649.0,306960.0,307725.0,308901.0,309444.0,312065.0,313447.0,315112.0,314138.0,314279.0,314690.0,315062.0,315937.0,316520.0,317172.0,317394.0,318319.0,319163.0,319417.0,319217.0,320433.0,321646.0,322667.0,323839.0,325073.0,326723.0,328699.0,331112.0,333362.0,335250.0,338247.0
Dallas County,County,TX,Dallas-Fort Worth-Arlington,48,113,174377.0,175932.0,177609.0,179166.0,180481.0,181363.0,181964.0,182049.0,182921.0,184117.0,185913.0,187685.0,190149.0,192734.0,194999.0,196655.0,198400.0,200272.0,202131.0,204533.0,205476.0,206532.0,206941.0,208619.0,210067.0,211281.0,212253.0,212963.0,213486.0,214047.0,214699.0,215585.0,216921.0,216926.0,217159.0,216705.0,217029.0,216978.0,217362.0,218393.0,219710.0,221173.0,222773.0,224192.0,226003.0,228942.0,232153.0,235586.0
Queens County,County,NY,New York-Newark-Jersey City,36,81,455273.0,457524.0,460147.0,461687.0,464297.0,466468.0,468962.0,471705.0,474554.0,478415.0,481325.0,483815.0,485730.0,488272.0,491600.0,495759.0,499881.0,504372.0,508445.0,511799.0,514624.0,516318.0,518139.0,520020.0,521583.0,522923.0,524264.0,524795.0,525876.0,525698.0,525141.0,524637.0,523669.0,524310.0,524274.0,524814.0,525213.0,525964.0,526372.0,527214.0,527488.0,528708.0,530449.0,532550.0,535322.0,537350.0,540161.0,542792.0
Riverside County,County,CA,Riverside-San Bernardino-Ontario,6,65,347153.0,347680.0,349559.0,351676.0,354204.0,356836.0,358540.0,360696.0,363328.0,366230.0,367956.0,369319.0,371107.0,374793.0,377512.0,380192.0,382555.0,384825.0,386651.0,387169.0,387732.0,386998.0,388008.0,388005.0,390378.0,391486.0,393353.0,393988.0,394233.0,394900.0,396049.0,396890.0,396715.0,398061.0,398353.0,400821.0,401016.0,402430.0,403184.0,405194.0,407920.0,410718.0,413866.0,418177.0,423582.0,428799.0,434718.0,440052.0
San Bernardino County,County,CA,Riverside-San Bernardino-Ontario,6,71,314366.0,317104.0,319015.0,321509.0,322817.0,325637.0,326531.0,329067.0,330200.0,332988.0,336165.0,339503.0,342361.0,344348.0,346295.0,347662.0,350237.0,352022.0,354164.0,354858.0,356724.0,357674.0,357774.0,357297.0,357611.0,357898.0,358453.0,359002.0,361422.0,363367.0,364358.0,364434.0,364723.0,365895.0,367535.0,368904.0,370229.0,371795.0,374010.0,376703.0,377892.0,379915.0,383299.0,388206.0,393124.0,397948.0,403277.0,409635.0
Clark County,County,NV,Las Vegas-Henderson-Paradise,32,3,222899.0,223363.0,226805.0,229443.0,232250.0,234980.0,238386.0,241221.0,244557.0,248841.0,253529.0,258199.0,261271.0,264731.0,266518.0,268751.0,271255.0,275251.0,279081.0,282735.0,284866.0,286235.0,286501.0,287947.0,289273.0,290575.0,290413.0,290721.0,291765.0,292833.0,292712.0,291297.0,289602.0,289421.0,290373.0,291264.0,292533.0,293458.0,295613.0,297434.0,298575.0,298983.0,300268.0,302873.0,306465.0,309189.0,311546.0,313532.0
King County,County,WA,Seattle-Tacoma-Bellevue,53,33,537566.0,542498.0,545845.0,551331.0,559597.0,569077.0,578407.0,586163.0,592619.0,600202.0,605337.0,611718.0,618098.0,628595.0,638612.0,645793.0,649393.0,649949.0,647507.0,645011.0,645133.0,644768.0,642927.0,638699.0,634967.0,630429.0,626562.0,623916.0,624784.0,625599.0,627190.0,626954.0,626062.0,624628.0,627444.0,634268.0,642481.0,649282.0,654546.0,660022.0,664041.0,669234.0,675320.0,683379.0,691069.0,699297.0,705215.0,708764.0
Wayne County,County,MI,Detroit-Warren-Dearborn,26,163,85990.0,86698.0,87128.0,87515.0,88226.0,89379.0,90330.0,91453.0,92289.0,93153.0,93760.0,94396.0,95444.0,96627.0,98434.0,99854.0,101172.0,101864.0,102589.0,103207.0,104080.0,104977.0,105701.0,106401.0,106738.0,107182.0,107173.0,107527.0,108326.0,109482.0,110235.0,110532.0,110817.0,111102.0,111478.0,111584.0,112074.0,112553.0,113264.0,113989.0,114469.0,115033.0,116106.0,117724.0,119445.0,121332.0,123492.0,126109.0
Tarrant County,County,TX,Dallas-Fort Worth-Arlington,48,439,185472.0,187321.0,188536.0,190005.0,191390.0,193096.0,194785.0,196575.0,198330.0,200358.0,202136.0,203372.0,204453.0,205714.0,207465.0,209068.0,210361.0,211831.0,213103.0,213561.0,213905.0,214192.0,215349.0,216711.0,218189.0,219057.0,219616.0,220161.0,221310.0,221847.0,222394.0,222819.0,223730.0,224476.0,225015.0,225463.0,225899.0,226832.0,227855.0,228959.0,229830.0,231095.0,232526.0,234527.0,236306.0,238311.0,240229.0,242371.0
