NAME,Max_cases,lat,lng,state_abbr
Alabama,449086,32.318231,-86.902298,AL
Arizona,740599,34.048928000000004,-111.093731,AZ
Arkansas,288964,35.20105,-91.83183299999999,AR
California,3252716,36.778261,-119.41793200000001,CA
Colorado,392448,39.550051,-105.782067,CO
Connecticut,247339,41.603221000000005,-73.087749,CT
Delaware,75832,38.910832,-75.52767,DE
Florida,1676163,27.664827000000002,-81.515754,FL
Georgia,861830,32.157435,-82.907123,GA
Idaho,161369,44.068202,-114.74204099999999,ID
Illinois,1114798,40.633125,-89.398528,IL
Indiana,620275,40.551217,-85.602364,IN
Iowa,316114,41.878003,-93.097702,IA
Kansas,275468,39.011902,-98.484246,KS
Kentucky,356837,37.839333,-84.27001800000001,KY
Louisiana,392416,31.244822999999997,-92.14502399999999,LA
Maine,38170,45.253783,-69.44546899999999,ME
Maryland,346734,39.045755,-76.641271,MD
Massachusetts,509503,42.407211,-71.382437,MA
Michigan,602896,44.314844,-85.602364,MI
Minnesota,457385,46.729553,-94.6859,MN
Mississippi,268672,32.354668,-89.398528,MS
Missouri,487273,37.964253,-91.83183299999999,MO
Montana,92619,46.879682,-110.36256599999999,MT
Nebraska,188979,41.492537,-99.901813,NE
Nevada,274042,38.802609999999994,-116.419389,NV
New Hampshire,63563,43.193852,-71.572395,NH
New Jersey,676537,40.058324,-74.405661,NJ
New Mexico,171047,34.97273,-105.03236299999999,NM
New York,1369329,43.299428000000006,-74.217933,NY
North Carolina,735542,35.759572999999996,-79.0193,NC
North Dakota,97185,47.551493,-101.002012,ND
Ohio,878284,40.417287,-82.907123,OH
Oklahoma,379110,35.007752,-97.092877,OK
Oregon,140063,43.804133,-120.554201,OR
Pennsylvania,824216,41.203322,-77.194525,PA
Rhode Island,113009,41.580095,-71.477429,RI
South Carolina,427231,33.836081,-81.163725,SC
South Dakota,107608,43.969515,-99.901813,SD
Tennessee,701997,35.517491,-86.58044699999999,TN
Texas,2310785,31.968598999999998,-99.901813,TX
Utah,340684,39.32098,-111.093731,UT
Vermont,11379,44.558803000000005,-72.577841,VT
Virginia,488553,37.431573,-78.656894,VA
Washington,309604,47.751073999999996,-120.74013899999999,WA
West Virginia,117775,38.597626,-80.454903,WV
Wisconsin,585600,43.784440000000004,-88.787868,WI
Wyoming,51368,43.075967999999996,-107.29028400000001,WY
